timestamp,heart_rate,state
0,83,rest
15,85,rest
30,84,rest
45,87,rest
60,89,rest
75,90,rest
90,87,rest
105,86,rest
120,94,rest
135,91,rest
150,87,rest
165,85,rest
180,87,rest
195,85,rest
210,84,rest
225,85,rest
240,86,rest
255,89,rest
270,91,rest
285,92,rest
300,110,active
315,115,active
330,119,active
345,121,active
360,129,active
375,128,active
390,126,active
405,128,active
420,123,active
435,125,active
450,126,active
465,124,active
480,122,active
495,125,active
510,128,active
525,122,active
540,127,active
555,125,active
570,123,active
585,120,active
600,117,recovery
615,114,recovery
630,108,recovery
645,96,recovery
660,93,recovery
675,91,recovery
690,87,recovery
705,84,recovery
720,87,recovery
735,88,recovery
750,83,recovery
765,86,recovery
780,91,recovery
795,89,recovery
810,83,recovery
825,88,recovery
840,84,recovery
855,82,recovery
870,83,recovery
885,85,recovery
